;AAPL UW Equity;AXP UN Equity;BA UN Equity;CAT UN Equity;CSCO UW Equity;CVX UN Equity;DIS UN Equity;DWDP UN Equity;GE UN Equity;GS UN Equity;HD UN Equity;IBM UN Equity;INTC UW Equity;JNJ UN Equity;JPM UN Equity;KO UN Equity;MCD UN Equity;MMM UN Equity;MRK UN Equity;MSFT UW Equity;NKE UN Equity;PFE UN Equity;PG UN Equity;TRV UN Equity;UNH UN Equity;UTX UN Equity;V UN Equity;VZ UN Equity;WMT UN Equity;XOM UN Equity;INDU Index
30/03/2009;14.9271;12.81;35.52;27.53;16.31;66.8;17.85;8.3;9.93;100.46;23.38;94.52;14.72;53.01;24.85;21.96;53.92;48.65;26.55;17.48;11.565;13.7;47.28;38.52;20.54;42.6;13.375;28.2373;51.76;68.63;7522.02
31/03/2009;15.0171;13.63;35.58;27.96;16.77;67.24;18.16;8.43;10.11;106.02;23.56;96.89;15.05;52.6;26.58;21.975;54.57;49.72;26.75;18.37;11.7225;13.62;47.09;40.64;20.93;42.98;13.9;28.2186;52.1;68.1;7608.92
01/04/2009;15.5271;14.44;35.44;28.99;17.46;68.3;18.79;8.81;10.17;110.29;23.83;97.61;15.03;53.04;28.14;22.43;55.24;50.65;26.99;19.31;11.75;13.99;48.21;42.14;20.68;43.88;13.5725;29.1717;52.82;69.23;7761.6
02/04/2009;16.1014;14.98;37.2;31.54;18.14;70.31;20.21;9.94;10.74;114.22;24.77;100.82;15.7;52.97;28.16;22.67;56.35;52.13;27;19.29;12.6225;13.77;49.42;41.97;21.07;45.94;13.8975;30.3303;53.64;70.25;7978.08
03/04/2009;16.57;15.33;37.69;32.15;18.16;70.48;20;11;10.94;119.4;25;102.22;15.95;52.15;29.28;22.485;56.64;52.11;26.46;18.75;12.9675;13.55;49.63;42.61;20.54;45.63;15.02;30.6387;53.8;70.44;8017.59
06/04/2009;16.9214;15.16;38.16;31.31;17.53;69.89;19.62;10.78;11.19;116.65;24.85;101.56;15.86;52.2;28.2;22.495;55.94;52.08;26.67;18.76;12.8175;13.71;49.65;42.14;21.93;46.31;14.7825;30.8629;53.43;70.05;7975.85
07/04/2009;16.4286;15.01;36.64;29.45;16.85;68.4;19.12;9.97;10.65;116.08;24.37;98.75;15.45;51.36;27.25;22.31;55.4;50.8;26.27;18.76;12.465;13.51;48.68;41.42;23.45;45.16;14.2875;29.6389;52.39;68.71;7789.56
08/04/2009;16.6171;15.72;36.87;29.57;17.13;68.48;19.36;10.15;10.64;114.75;25.12;101.19;15.27;51.45;27.43;22.495;55.56;51.38;26.76;19.19;12.56;13.48;48.47;42.14;22.86;44.62;14.455;29.6015;52.61;68.96;7837.11
09/04/2009;17.0814;18.83;39.15;32.52;17.82;69.23;19.88;10.94;11.33;124.33;25.9;101.7;15.98;51.41;32.75;22.495;56.67;53.13;26.3;19.65;13.3175;13.55;49.19;42.84;23.86;47.29;14.6975;29.9939;50.66;69.84;8083.38
10/04/2009;17.0814;18.83;39.15;32.52;17.82;69.23;19.88;10.94;11.33;124.33;25.9;101.7;15.98;51.41;32.75;22.495;56.67;53.13;26.3;19.65;13.3175;13.55;49.19;42.84;23.86;47.29;14.6975;29.9939;50.66;69.84;8083.38
